263,231,20
258,249,20
435,265,20
434,247,20
322,210,20
310,195,20
333,349,20
322,362,20
478,355,20
474,351,20
478,349,20
478,352,20
482,350,20
478,346,20
482,344,20
482,347,20
486,345,20
482,341,20
486,339,20
486,342,20
490,340,20
486,336,20
490,334,20
490,337,20
494,335,20
490,331,20
494,329,20
494,332,20
498,330,20
494,326,20
498,324,20
498,327,20
502,325,20
498,321,20
502,319,20
502,322,20
506,320,20
502,316,20
506,314,20
506,317,20
510,315,20
506,311,20
510,309,20
510,312,20
514,310,20
510,306,20
514,304,20
514,307,20
518,305,20
514,301,20
518,299,20
518,302,20
522,300,20
518,296,20
522,294,20
522,297,20
526,295,20
522,291,20
526,289,20
526,292,20
530,290,20
526,286,20
530,284,20
530,287,20
534,285,20
530,281,20
534,279,20
534,282,20
538,280,20
534,276,20
538,274,20
538,277,20
542,275,20
538,271,20
542,269,20
542,272,20
546,270,20
542,266,20
546,264,20
546,267,20
550,265,20
546,261,20
550,259,20
550,262,20
554,260,20
550,256,20
554,254,20
554,257,20
558,255,20
554,251,20
558,249,20
558,252,20
562,250,20
558,246,20
562,244,20
562,247,20
566,245,20
562,241,20
566,239,20
566,242,20
570,240,20
566,236,20
570,234,20
570,237,20
574,235,20
570,231,20
574,229,20
574,232,20
578,230,20
574,226,20
578,224,20
578,227,20
582,225,20
578,221,20
582,219,20
582,222,20
586,220,20
582,216,20
578,214,20
586,217,20
582,215,20
578,211,20
574,209,20
582,212,20
578,210,20
574,206,20
570,204,20
578,207,20
179,424,20
170,413,20
574,205,20
570,201,20
566,199,20
574,202,20
570,200,20
566,196,20
562,194,20
570,197,20
179,429,20
170,417,20
566,195,20
562,191,20
558,189,20
566,192,20
562,190,20
558,186,20
554,184,20
562,187,20
558,185,20
554,181,20
550,179,20
558,182,20
554,180,20
550,176,20
546,174,20
554,177,20
550,175,20
546,171,20
542,169,20
550,172,20
546,170,20
542,166,20
538,164,20
546,167,20
542,165,20
538,161,20
534,159,20
542,162,20
538,160,20
534,156,20
530,154,20
538,157,20
534,155,20
530,151,20
526,149,20
534,152,20
530,150,20
526,146,20
522,144,20
530,147,20
526,145,20
522,141,20
518,139,20
526,142,20
522,140,20
518,136,20
514,134,20
522,137,20
518,135,20
514,131,20
510,129,20
518,132,20
514,130,20
510,126,20
506,124,20
514,127,20
510,125,20
506,121,20
502,119,20
510,122,20
506,120,20
502,116,20
498,114,20
506,117,20
502,115,20
498,111,20
494,109,20
502,112,20
498,110,20
494,106,20
490,104,20
498,107,20
494,105,20
490,101,20
486,99,20
494,102,20
490,100,20
486,96,20
482,94,20
490,97,20
486,95,20
482,91,20
478,89,20
486,92,20
482,90,20
478,86,20
474,84,20
482,87,20
478,85,20
474,81,20
470,79,20
478,82,20
474,80,20
470,76,20
466,74,20
474,77,20
470,75,20
466,71,20
462,69,20
470,72,20
466,70,20
462,66,20
458,64,20
466,67,20
462,65,20
458,61,20
454,59,20
462,62,20
458,60,20
454,56,20
450,54,20
458,57,20
454,55,20
450,51,20
446,49,20
454,52,20
388,259,20
375,247,20
450,50,20
446,46,20
442,44,20
450,47,20
446,45,20
442,41,20
438,39,20
446,42,20
442,40,20
438,36,20
434,34,20
442,37,20
438,35,20
434,31,20
